"CDSID","ortholog","AssociatedFunction"
"LBRM2904_18.1300 (old tag= LbrM.18.1280)","LmjF.18.1180","hypothetical protein, conserved"
"LBRM2904_18.1310 (old tag= -)","-","hypothetical protein"
"LBRM2904_18.1320 (old tag= LbrM.18.1290)","LmjF.18.1190","hypothetical protein, conserved"
"LBRM2904_18.1330 (old tag= LbrM.18.1300)","LmjF.18.1200","Complex 1 protein (LYR family)/Complex1 LYR-like, putative"
"LBRM2904_18.1340 (old tag= LbrM.18.1310)","LmjF.18.1210,LmjF.18.1220","prolyl-tRNA synthetase, putative"
"LBRM2904_18.1350 (old tag= LbrM.18.1310)","LmjF.18.1210,LmjF.18.1220","prolyl-tRNA synthetase, putative"
"LBRM2904_18.1360 (old tag= LbrM.18.1320)","LmjF.18.1230","SET domain containing protein, putative"
"LBRM2904_18.1370 (old tag= LbrM.18.1330)","LmjF.18.1240","pre-RNA processing PIH1/Nop17, putative"
"LBRM2904_18.1380 (old tag= LbrM.18.1340)","LmjF.18.1250","ttaggg binding factor, putative"
"LBRM2904_18.1390 (old tag= LbrM.18.1350)","LmjF.18.1270,LmjF.18.1275,LmjF.18.1280,LmjF.18.1285,LmjF.18.1290,LmjF.18.1300","Mitochondrial carrier protein, putative"
"LBRM2904_18.1400 (old tag= LbrM.18.1350)","LmjF.18.1270,LmjF.18.1275,LmjF.18.1280,LmjF.18.1285,LmjF.18.1290,LmjF.18.1300","Mitochondrial carrier protein, putative"
"LBRM2904_18.1410 (old tag= LbrM.18.1360)","LmjF.18.1270,LmjF.18.1275,LmjF.18.1280,LmjF.18.1285,LmjF.18.1290,LmjF.18.1300","Mitochondrial carrier protein, putative"
"LBRM2904_18.1420 (old tag= LbrM.18.1370)","LmjF.18.1310","hypothetical protein, conserved"
"LBRM2904_18.1430 (old tag= LbrM.18.1380)","LmjF.18.1320","hypothetical protein, conserved"
"LBRM2904_18.1440 (old tag= LbrM.18.1140)","LmjF.18.1330","cholinephosphate cytidylyltransferase A, putative"
"LBRM2904_18.1450 (old tag= LbrM.18.1130)","LmjF.18.1340","hypothetical protein, conserved"
"LBRM2904_18.1460 (old tag= LbrM.18.1120)","LmjF.18.1350","hypothetical protein, conserved"
"LBRM2904_18.1470 (old tag= LbrM.18.1390)","LmjF.18.1360","hypothetical protein, conserved"
"LBRM2904_18.1480 (old tag= LbrM.18.1400)","LmjF.18.1370","heat shock protein 110, putative"
"LBRM2904_18.1490 (old tag= LbrM.18.1410)","LmjF.18.1380","pyruvate dehydrogenase E1 component alpha subunit, putative"
"LBRM2904_18.1500 (old tag= LbrM.18.1420)","LmjF.18.1390","hypothetical protein, conserved"
"LBRM2904_18.1510 (old tag= LbrM.18.1430)","LmjF.18.1400","60S ribosomal protein L34, putative"
"LBRM2904_18.1520 (old tag= LbrM.18.1450)","LmjF.18.1420","pumilio protein 2, putative"
"LBRM2904_18.1530 (old tag= LbrM.18.1460)","LmjF.18.1430","chaperone DNAJ protein, putative"
"LBRM2904_18.1540 (old tag= LbrM.18.1470)","LmjF.18.1440","EF-hand domain/EF-hand domain pair, putative"
"LBRM2904_18.1550 (old tag= LbrM.18.1480)","LmjF.18.1450","Protein of unknown function (DUF3648), putative"
"LBRM2904_18.1560 (old tag= LbrM.18.1490)","LmjF.18.1460","hypothetical protein, conserved"
"LBRM2904_18.1570 (old tag= LbrM.18.1500)","LmjF.18.1470","hypothetical protein, conserved"
"LBRM2904_18.1580 (old tag= LbrM.18.1520)","LmjF.18.1480","NADH-ubiquinone oxidoreductase complex I subunit, putative"
"LBRM2904_18.1590 (old tag= LbrM.18.1530)","LmjF.18.1490","chaperone protein DNAj, putative"
"LBRM2904_18.1600 (old tag= LbrM.18.1540)","LmjF.18.1500","hypothetical protein, conserved"
"LBRM2904_18.1610 (old tag= LbrM.18.1550)","LmjF.18.1510,LmjF.18.1520","P-type H+-ATPase, putative"
"LBRM2904_18.1620 (old tag= LbrM.18.1550)","LmjF.18.1510,LmjF.18.1520","P-type H+-ATPase, putative"
"LBRM2904_18.1630 (old tag= LbrM.18.1560)","LmjF.18.1530","kinesin, putative"
"LBRM2904_18.1640 (old tag= LbrM.18.1570)","LmjF.18.1540","UAA transporter family, putative"
"LBRM2904_18.1650 (old tag= LbrM.18.1580)","LmjF.18.1550","BTB/POZ domain containing protein, putative"
"LBRM2904_18.1660 (old tag= LbrM.18.1590)","LmjF.18.1560","hypothetical protein, conserved"
"LBRM2904_18.1670 (old tag= LbrM.18.1600)","LmjF.18.1570","Zinc finger, C3HC4 type (RING finger) containing protein, putative"
"LBRM2904_18.1680 (old tag= LbrM.18.1610)","LmjF.18.1580","nonspecific nucleoside hydrolase"
"LBRM2904_18.1690 (old tag= LbrM.18.1620)","LmjF.18.1590","hypothetical protein, conserved"
"LBRM2904_18.1700 (old tag= LbrM.18.1630)","LmjF.18.1600","kinesin, putative"
"LBRM2904_18.1710 (old tag= LbrM.18.1640)","LmjF.18.1610","Noc2p family, putative"
"LBRM2904_18.1720 (old tag= LbrM.18.1650)","LmjF.18.1620","Got1/Sft2-like family, putative"
"LBRM2904_18.1730 (old tag= LbrM.18.1660)","LmjF.18.1625","hypothetical protein, conserved"
"LBRM2904_18.1740 (old tag= LbrM.18.1670)","LmjF.18.1630","hypothetical protein, conserved"
"LBRM2904_18.1750 (old tag= LbrM.18.1680)","LmjF.18.1640","hypothetical protein, conserved"
"LBRM2904_18.1760 (old tag= LbrM.18.1690)","LmjF.18.1650","chaperone protein DNAj, putative"
"LBRM2904_18.1770 (old tag= LbrM.18.1700)","LmjF.18.1660","gamma-glutamylcysteine synthetase, putative"
"LBRM2904_18.1780 (old tag= LbrM.18.1710)","LmjF.18.1670","hypothetical protein, conserved"
"LBRM2904_19.0010 (old tag= LbrM.19.0360)","LmjF.19.0030","histone H2B"
"LBRM2904_19.0020 (old tag= LbrM.19.0360)","LmjF.19.0040","histone H2B"
"LBRM2904_19.0030 (old tag= LbrM.19.0360)","LmjF.19.0050","histone H2B"
"LBRM2904_19.0040 (old tag= LbrM.19.0370)","LmjF.19.0060","40S ribosomal protein S2"
"LBRM2904_19.0050 (old tag= LbrM.19.0380)","LmjF.19.0070","peroxin 13, putative"
"LBRM2904_19.0060 (old tag= LbrM.19.0390)","LmjF.19.0080","DnaJ domain containing protein, putative"
"LBRM2904_19.0070 (old tag= LbrM.19.0400)","LmjF.19.0090","hypothetical protein, conserved"
"LBRM2904_19.0080 (old tag= LbrM.19.0410)","LmjF.19.0100","fibrillarin, putative"
"LBRM2904_19.0090 (old tag= LbrM.19.0420)","LmjF.19.0110","Clathrin light chain, putative"
"LBRM2904_19.0100 (old tag= LbrM.19.0430)","LmjF.19.0120","QA-SNARE protein putative"
"LBRM2904_19.0110 (old tag= LbrM.19.0440)","LmjF.19.0130","Der1-like family, putative"
"LBRM2904_19.0120 (old tag= LbrM.19.0450)","LmjF.19.0140","Associated kinase of Tb14-3-3, putative"
"LBRM2904_19.0130 (old tag= LbrM.19.0460)","LmjF.19.0150","mitogen-activated protein kinase kinase kinase, putative"
"LBRM2904_19.0140 (old tag= LbrM.19.0470)","LmjF.19.0160","metallo-peptidase, Clan MG, Family M24"
"LBRM2904_19.0150 (old tag= -)","-","hypothetical protein"
"LBRM2904_19.0160 (old tag= LbrM.19.0480)","LmjF.19.0170","hypothetical protein, conserved"
"LBRM2904_19.0170 (old tag= LbrM.19.0490)","LmjF.19.0180","mitogen-activated protein kinase 9, putative"
"LBRM2904_19.0180 (old tag= LbrM.19.0500)","LmjF.19.0190","Multiprotein-bridging factor 1, putative"
"LBRM2904_19.0190 (old tag= LbrM.19.0510)","LmjF.19.0200","ADP -ATP carrier protein 1, mitochondrial precursor, putative"
"LBRM2904_19.0200 (old tag= LbrM.19.0520)","LmjF.19.0210","ADP -ATP carrier protein 1, mitochondrial precursor, putative"
"LBRM2904_19.0210 (old tag= LbrM.19.0530)","LmjF.19.0220","polyprenyl synthase, putative"
"LBRM2904_19.0220 (old tag= LbrM.19.0540)","LmjF.19.0230","Complex 1 protein (LYR family)/Complex1 LYR-like, putative"
"LBRM2904_19.0230 (old tag= LbrM.19.0550)","LmjF.19.0240","hypothetical protein, conserved"
"LBRM2904_19.0240 (old tag= LbrM.19.0560)","LmjF.19.0250","hypothetical protein, conserved"
"LBRM2904_19.0250 (old tag= LbrM.19.0570)","LmjF.19.0260","C-terminal motor kinesin, putative"
"LBRM2904_19.0260 (old tag= LbrM.19.0580)","LmjF.19.0270","hypothetical protein, conserved"
"LBRM2904_19.0270 (old tag= LbrM.19.0590)","LmjF.19.0280","Sarcalumenin, putative"
"LBRM2904_19.0280 (old tag= LbrM.19.0620)","LmjF.19.0300","RNA binding protein, putative"
"LBRM2904_19.0290 (old tag= LbrM.19.0630)","LmjF.19.0310","membrane protein, putative"
"LBRM2904_19.0300 (old tag= LbrM.19.0640)","LmjF.19.0320","intraflagellar transport protein 52, putative"
"LBRM2904_19.0310 (old tag= LbrM.19.0650)","LmjF.19.0330","intraflagellar transport protein 80, putative"
"LBRM2904_19.0320 (old tag= LbrM.19.0660)","LmjF.19.0340","hypothetical protein, conserved"
"LBRM2904_19.0330 (old tag= LbrM.19.0670)","LmjF.19.0350","lipoic acid synthetase, mitochondrial precursor, putative"
"LBRM2904_19.0340 (old tag= LbrM.19.0680)","LmjF.19.0360","protein kinase, putative"
"LBRM2904_19.0350 (old tag= LbrM.19.0690)","LmjF.19.0370","hypothetical protein, conserved"
"LBRM2904_19.0360 (old tag= LbrM.19.0700)","LmjF.19.0380","WD domain, G-beta repeat, putative"
"LBRM2904_19.0370 (old tag= LbrM.19.0720)","LmjF.19.0400","Vesicle-trafficking protein SEC22, putative"
"LBRM2904_19.0380 (old tag= LbrM.19.0730)","LmjF.19.0410","Proteasome maturation factor UMP1, putative"
"LBRM2904_19.0390 (old tag= LbrM.19.0740)","LmjF.19.0420","DNA-directed RNA polymerase III subunit C11, putative"
"LBRM2904_19.0400 (old tag= LbrM.19.0750)","LmjF.19.0430","hypothetical protein, conserved"
"LBRM2904_19.0410 (old tag= LbrM.19.0760)","LmjF.19.0440","nucleosome assembly protein, putative"
"LBRM2904_19.0420 (old tag= LbrM.19.0770)","LmjF.19.0450","hypothetical protein, conserved"
"LBRM2904_19.0430 (old tag= LbrM.19.0780)","LmjF.19.0460","Predicted coiled-coil domain-containing protein (DUF2360), putative"
"LBRM2904_19.0440 (old tag= LbrM.19.0790)","LmjF.19.0470","nuclear cap binding complex subunit CBP30, putative"
"LBRM2904_19.0450 (old tag= LbrM.19.0800)","LmjF.19.0480","hypothetical protein, conserved"
"LBRM2904_19.0460 (old tag= LbrM.19.0810)","LmjF.19.0490","hypothetical protein, conserved"
"LBRM2904_19.0480 (old tag= LbrM.19.0820)","LmjF.19.0500","hypothetical protein, conserved"
"LBRM2904_19.0490 (old tag= LbrM.19.0830)","LmjF.19.0510","hypothetical protein, conserved"
"LBRM2904_19.0500 (old tag= LbrM.19.0840)","LmjF.19.0520","hypothetical protein, conserved"
"LBRM2904_19.0510 (old tag= LbrM.19.0850)","LmjF.19.0530","hypothetical protein, conserved"
"LBRM2904_19.0520 (old tag= LbrM.19.0860)","LmjF.19.0550","metallo- peptidase, Clan MG, Family M24"
"LBRM2904_19.0530 (old tag= LbrM.19.0890)","LmjF.19.0560","Domain of Unknown Function (DUF1042), putative"
"LBRM2904_19.0550 (old tag= LbrM.19.0900)","LmjF.19.0540,LmjF.19.0570","hypothetical protein, conserved"
"LBRM2904_19.0560 (old tag= LbrM.19.0900)","LmjF.19.0540,LmjF.19.0570","hypothetical protein, conserved"
"LBRM2904_19.0570 (old tag= -)","-","hypothetical protein"
"LBRM2904_19.0580 (old tag= LbrM.19.0870)","LmjF.19.0580","hypothetical protein, conserved"
"LBRM2904_19.0590 (old tag= LbrM.19.0910)","LmjF.19.0590","protein kinase, putative"
"LBRM2904_19.0600 (old tag= LbrM.19.0930)","LmjF.19.0610","hypothetical protein, conserved"
"LBRM2904_19.0610 (old tag= LbrM.19.0940)","LmjF.19.0620","CYTH domain containing protein, putative"
"LBRM2904_19.0620 (old tag= LbrM.19.0950)","LmjF.19.0630","histone H3 variant, putative"
"LBRM2904_19.0630 (old tag= LbrM.19.0960)","LmjF.19.0640","extracellular receptor, putative"
"LBRM2904_19.0640 (old tag= LbrM.19.0970)","LmjF.19.0650","hypothetical protein, conserved"
"LBRM2904_19.0650 (old tag= -)","-","hypothetical protein"
"LBRM2904_19.0660 (old tag= LbrM.19.0980)","LmjF.19.0660","DNA-directed RNA polymerases I and III subunit RPAC1, putative"
"LBRM2904_19.0670 (old tag= LbrM.19.0990)","LmjF.19.0670","U3 snoRNA-associated protein UTP11, putative"
"LBRM2904_19.0680 (old tag= LbrM.19.1150)","LmjF.19.0680,LmjF.19.0690","kinesin, putative"
"LBRM2904_19.0690 (old tag= LbrM.19.1000)","LmjF.19.0680,LmjF.19.0690","kinesin, putative"
"LBRM2904_19.0700 (old tag= LbrM.19.1010)","LmjF.19.0700","kinesin, putative"
"LBRM2904_19.0710 (old tag= LbrM.19.1020)","LmjF.19.0710","glycosomal malate dehydrogenase"
"LBRM2904_19.0720 (old tag= LbrM.19.1030)","LmjF.19.0720","hypothetical protein, conserved"
"LBRM2904_19.0730 (old tag= LbrM.19.1040)","LmjF.19.0730","Methyltransferase domain containing protein, putative"
"LBRM2904_19.0740 (old tag= -)","-","hypothetical protein"
"LBRM2904_19.0750 (old tag= LbrM.19.1050)","LmjF.19.0740","Vacuolar protein sorting protein 36 Vps36/EAP30/Vps36 family, putative"
"LBRM2904_19.0760 (old tag= LbrM.19.1060)","LmjF.19.0750","hypothetical protein, conserved"
"LBRM2904_19.0770 (old tag= LbrM.19.1070)","LmjF.19.0760","transporter, putative"
"LBRM2904_19.0780 (old tag= LbrM.19.1080)","LmjF.19.0770","SNARE protein, putative"
"LBRM2904_19.0790 (old tag= LbrM.19.1090)","LmjF.19.0780","hypothetical protein, conserved"
"LBRM2904_19.0800 (old tag= LbrM.19.1100)","LmjF.19.0790","signal recognition particle protein, putative"
"LBRM2904_19.0810 (old tag= LbrM.19.1110)","LmjF.19.0800","ABC transport system ATP-binding protein, putative"
"LBRM2904_19.0820 (old tag= LbrM.19.1120)","LmjF.19.0810","vps53-like domain protein"
"LBRM2904_19.0830 (old tag= LbrM.19.1140)","LmjF.19.0840,LmjF.19.0844,LmjF.19.0848","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0840 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0850 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0860 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0870 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0880 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0890 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0900 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0910 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0920 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0930 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0940 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0950 (old tag= LbrM.19.1180)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0960 (old tag= LbrM.19.1170)","LmjF.19.0820,LmjF.19.0842,LmjF.19.0846,LmjF.19.0850,LmjF.19.0860,LmjF.19.0870,LmjF.19.0880,LmjF.19.0900,LmjF.19.0910","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.0970 (old tag= LbrM.19.1190)","LmjF.19.0930","hypothetical protein, conserved"
"LBRM2904_19.0980 (old tag= LbrM.19.1200)","LmjF.19.0940","CAP-Gly domain containing protein, putative"
"LBRM2904_19.0990 (old tag= LbrM.19.1210)","LmjF.19.0950","hypothetical protein, conserved"
"LBRM2904_19.1000 (old tag= LbrM.19.1220)","LmjF.19.0960","dynein light chain, putative"
"LBRM2904_19.1010 (old tag= LbrM.19.1260)","LmjF.19.0980","FYVE zinc finger containing protein, putative"
"LBRM2904_19.1020 (old tag= LbrM.19.1270)","-","AMP-binding enzyme, putative"
"LBRM2904_19.1030 (old tag= LbrM.19.1280)","LmjF.19.0985,LmjF.19.0995,LmjF.19.1005","4-coumarate:coa ligase-like protein"
"LBRM2904_19.1040 (old tag= LbrM.19.1290)","LmjF.19.1010","WD domain, G-beta repeat, putative"
"LBRM2904_19.1050 (old tag= LbrM.19.1300)","LmjF.19.1020","tRNA pseudouridine synthase A-like protein"
"LBRM2904_19.1060 (old tag= LbrM.19.1310)","LmjF.19.1030","hypothetical protein, conserved"
"LBRM2904_19.1070 (old tag= LbrM.19.1320)","LmjF.19.1040","phenylalanyl-tRNA synthetase, putative"
"LBRM2904_19.1080 (old tag= LbrM.19.1330)","LmjF.19.1050","hypothetical protein, conserved"
"LBRM2904_19.1090 (old tag= LbrM.19.1340)","LmjF.19.1060","hypothetical protein, conserved"
"LBRM2904_19.1100 (old tag= LbrM.19.1601)","LmjF.19.1070","Diacylglycerol kinase catalytic domain containing protein, putative"
"LBRM2904_19.1110 (old tag= LbrM.19.0880)","LmjF.19.1080","hypothetical protein, conserved"
"LBRM2904_19.1120 (old tag= -)","LmjF.19.1090","hypothetical protein, conserved"
"LBRM2904_19.1130 (old tag= LbrM.19.1420)","LmjF.19.1100","hypothetical protein, conserved"
"LBRM2904_19.1140 (old tag= LbrM.19.1430)","LmjF.19.1110","mitochondrial carrier protein, putative"
"LBRM2904_19.1150 (old tag= LbrM.19.1440)","LmjF.19.1120","proteasome regulatory non-ATP-ase subunit 9, putative"
"LBRM2904_19.1160 (old tag= LbrM.19.1240)","LmjF.19.1130","Ankyrin repeat/Ankyrin repeats (3 copies), putative"
"LBRM2904_19.1170 (old tag= LbrM.19.1250)","LmjF.19.1140","hypothetical protein, conserved"
"LBRM2904_19.1180 (old tag= LbrM.19.1910)","LmjF.19.1150","hypothetical protein, conserved"
"LBRM2904_19.1190 (old tag= LbrM.19.1410)","LmjF.19.1160","hypothetical protein, conserved"
"LBRM2904_19.1200 (old tag= LbrM.19.1400)","LmjF.19.1170","hypothetical protein, conserved"
"LBRM2904_19.1210 (old tag= LbrM.19.1390)","LmjF.19.1180","hypothetical protein, conserved"
"LBRM2904_19.1220 (old tag= LbrM.19.1380)","LmjF.19.1190","hypothetical protein, conserved"
"LBRM2904_19.1230 (old tag= LbrM.19.1370)","LmjF.19.1200","actin-related protein 2, putative"
"LBRM2904_19.1240 (old tag= LbrM.19.1360)","LmjF.19.1210","Fcf1, putative"
"LBRM2904_19.1250 (old tag= LbrM.19.1350)","LmjF.19.1220","hypothetical protein, conserved"
"LBRM2904_19.1260 (old tag= -)","-","hypothetical protein"
"LBRM2904_19.1270 (old tag= LbrM.19.1450)","LmjF.19.1230","hypothetical protein, conserved"
"LBRM2904_19.1280 (old tag= LbrM.19.1460)","LmjF.19.1240","hypothetical protein, conserved"
"LBRM2904_19.1290 (old tag= LbrM.19.1470)","LmjF.19.1250","peroxin 12, putative"
"LBRM2904_19.1300 (old tag= LbrM.19.1480)","LmjF.19.1260","hypothetical protein, conserved"
"LBRM2904_19.1310 (old tag= LbrM.19.1490)","LmjF.19.1270","RNA binding protein, putative"
"LBRM2904_19.1320 (old tag= LbrM.19.1500)","LmjF.19.1280","SPFH domain / Band 7 family, putative"
"LBRM2904_19.1330 (old tag= -)","LmjF.19.1290","SPFH domain / Band 7 family, putative"
"LBRM2904_19.1340 (old tag= LbrM.19.1540)","LmjF.19.1310","hypothetical protein, conserved"
"LBRM2904_19.1350 (old tag= LbrM.19.1560)","LmjF.19.1000,LmjF.19.1320,LmjF.19.1330,LmjF.19.1340,LmjF.19.1345","glycerol uptake protein, putative"
"LBRM2904_19.1360 (old tag= LbrM.19.1570)","-","hypothetical protein"
"LBRM2904_19.1370 (old tag= LbrM.19.1610)","LmjF.19.1350","phosphatidic acid phosphatase protein-like protein"
"LBRM2904_19.1380 (old tag= LbrM.19.1630)","LmjF.19.1365","hypothetical protein, conserved"
"LBRM2904_19.1390 (old tag= LbrM.19.1640)","LmjF.19.1370","hypothetical protein, conserved"
"LBRM2904_19.1400 (old tag= LbrM.19.1650)","LmjF.19.1380","cation transporter, putative"
"LBRM2904_19.1410 (old tag= LbrM.19.1660)","LmjF.19.1390","transcription initiation factor-like protein (TFIID-like protein)"
"LBRM2904_19.1420 (old tag= LbrM.19.1670)","LmjF.19.1400","Tetratricopeptide repeat, putative"
"LBRM2904_19.1430 (old tag= LbrM.19.1680)","LmjF.19.1410","Cid1 family poly A polymerase, putative"
"LBRM2904_19.1440 (old tag= LbrM.19.1690)","LmjF.19.1420","cysteine peptidase A (CPA)"
"LBRM2904_19.1450 (old tag= LbrM.19.1700)","LmjF.19.1430","pre-RNA processing PIH1/Nop17, putative"
"LBRM2904_19.1460 (old tag= LbrM.19.1710)","LmjF.19.1440","mitogen activated protein kinase 4, putative"
"LBRM2904_19.1470 (old tag= LbrM.19.1720)","LmjF.19.1450","oxidoreductase-like protein"
"LBRM2904_19.1480 (old tag= LbrM.19.1730)","LmjF.19.1460","hypothetical protein, conserved"
"LBRM2904_19.1490 (old tag= LbrM.19.1740)","LmjF.19.1470","protein kinase, putative"
"LBRM2904_19.1500 (old tag= LbrM.19.1750)","LmjF.19.1480,LmjF.19.1500","eukaryotic translation initiation factor-like protein"
"LBRM2904_19.1510 (old tag= LbrM.19.1770)","LmjF.19.1490,LmjF.19.1510","Triose-phosphate Transporter family, putative"
"LBRM2904_19.1520 (old tag= LbrM.19.1780)","LmjF.19.1520","hypothetical protein, conserved"
"LBRM2904_19.1530 (old tag= LbrM.19.1790)","LmjF.19.1530","FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative"
"LBRM2904_19.1540 (old tag= LbrM.19.1800)","LmjF.19.1540","choline/Carnitine o-acyltransferase-like protein"
"LBRM2904_19.1550 (old tag= LbrM.19.1810)","LmjF.19.1550","WD domain, G-beta repeat, putative"
"LBRM2904_19.1560 (old tag= LbrM.19.1820)","LmjF.19.1560","inosine-5'-monophosphate dehydrogenase"
"LBRM2904_19.1570 (old tag= LbrM.19.1830)","LmjF.19.1570","ELMO/CED-12 family, putative"
"LBRM2904_19.1580 (old tag= LbrM.19.1840)","LmjF.19.1580","hypothetical protein, conserved"
"LBRM2904_19.1590 (old tag= LbrM.19.1850)","LmjF.19.1590","ATP-dependent zinc metallopeptidase, putative"
"LBRM2904_19.1600 (old tag= LbrM.19.1860)","LmjF.19.1600","SRP19 protein, putative"
"LBRM2904_19.1610 (old tag= LbrM.19.1870)","LmjF.19.1610","protein kinase, putative"
"LBRM2904_19.1620 (old tag= LbrM.19.1880)","LmjF.19.1620","potassium voltage-gated channel, putative"
"LBRM2904_19.1630 (old tag= LbrM.19.1890)","LmjF.19.1630","ATG8/AUT7/APG8/PAZ2, putative"
"LBRM2904_19.1640 (old tag= -)","-","snoRNA"
"LBRM2904_19.1650 (old tag= -)","-","hypothetical protein"
"LBRM2904_19.1660 (old tag= LbrM.19.1900)","LmjF.19.1640","adenylate cyclase regulatory protein-like protein"
"LBRM2904_20.0010 (old tag= LbrM.20.0160)","LmjF.34.0080","glucose-6-phosphate 1-dehydrogenase, putative"
"LBRM2904_20.0020 (old tag= LbrM.20.0150)","LmjF.34.0070","ascorbate peroxidase"
"LBRM2904_20.0030 (old tag= LbrM.20.0140)","LmjF.34.0060","hypothetical protein, conserved"
"LBRM2904_20.0040 (old tag= -)","-","hypothetical protein"
"LBRM2904_20.0050 (old tag= LbrM.20.0130)","LmjF.34.0050","Cleft lip and palate transmembrane protein 1 (CLPTM1), putative"
"LBRM2904_20.0060 (old tag= LbrM.20.0120)","LmjF.34.0040","DnaJ domain containing protein, putative"
"LBRM2904_20.0070 (old tag= LbrM.20.0110)","LmjF.34.0030","protein kinase, putative"
"LBRM2904_20.0080 (old tag= LbrM.20.0090)","LmjF.34.0010","short chain dehydrogenase/KR domain/Enoyl-(Acyl carrier protein) reductase, putative"
"LBRM2904_20.0090 (old tag= LbrM.20.0080)","LmjF.34.0090","hypothetical protein, conserved"
"LBRM2904_20.0100 (old tag= LbrM.20.0070)","LmjF.34.0100","PrimPol-like protein 2, putative"
"LBRM2904_20.0110 (old tag= LbrM.20.0060)","LmjF.34.0110","adenylate kinase, putative"
"LBRM2904_20.0120 (old tag= LbrM.20.0050)","LmjF.34.0120","adenylate kinase 2"
"LBRM2904_20.0130 (old tag= LbrM.20.0040)","LmjF.34.0130","malate dehydrogenase, putative"
"LBRM2904_20.0140 (old tag= LbrM.20.0030)","LmjF.34.0140","malate dehydrogenase"
"LBRM2904_20.0150 (old tag= LbrM.20.0020)","LmjF.34.0150","malate dehydrogenase, putative"
"LBRM2904_20.0160 (old tag= LbrM.20.0010)","LmjF.34.0160","mitochondrial malate dehydrogenase"
"LBRM2904_20.0170 (old tag= LbrM.20.0170)","LmjF.34.0170","Nucleolar protein 12 (25kDa), putative"
"LBRM2904_20.0180 (old tag= LbrM.20.0190)","LmjF.34.0180","hypothetical protein, conserved"
