"CDSID","ortholog","AssociatedFunction"
"LDHU3 17.0190"," LmjF.17.0086"," elongation factor 1-alpha GeneDB:LmjF.17.0080 GeneDB:LmjF.17.0081 GeneDB:LmjF.17.0082 GeneDB:LmjF.17.0083 GeneDB:LmjF.17.0084 GeneDB:LmjF.17.0085 GeneDB:LmjF.17.0086"
"LDHU3 17.0200"," LmjF.17.0086"," elongation factor 1-alpha GeneDB:LmjF.17.0080 GeneDB:LmjF.17.0081 GeneDB:LmjF.17.0082 GeneDB:LmjF.17.0083 GeneDB:LmjF.17.0084 GeneDB:LmjF.17.0085 GeneDB:LmjF.17.0086"
"LDHU3 17.0210"," LmjF.17.0086"," elongation factor 1-alpha GeneDB:LmjF.17.0080 GeneDB:LmjF.17.0081 GeneDB:LmjF.17.0082 GeneDB:LmjF.17.0083 GeneDB:LmjF.17.0084 GeneDB:LmjF.17.0085 GeneDB:LmjF.17.0086"
"LDHU3 17.0220"," LmjF.17.0086"," elongation factor 1-alpha GeneDB:LmjF.17.0080 GeneDB:LmjF.17.0081 GeneDB:LmjF.17.0082 GeneDB:LmjF.17.0083 GeneDB:LmjF.17.0084 GeneDB:LmjF.17.0085 GeneDB:LmjF.17.0086"
"LDHU3 17.0230"," LmjF.17.0086"," elongation factor 1-alpha GeneDB:LmjF.17.0080 GeneDB:LmjF.17.0081 GeneDB:LmjF.17.0082 GeneDB:LmjF.17.0083 GeneDB:LmjF.17.0084 GeneDB:LmjF.17.0085 GeneDB:LmjF.17.0086"
"LDHU3 17.0240"," LmjF.17.0086"," elongation factor 1-alpha GeneDB:LmjF.17.0080 GeneDB:LmjF.17.0081 GeneDB:LmjF.17.0082 GeneDB:LmjF.17.0083 GeneDB:LmjF.17.0084 GeneDB:LmjF.17.0085 GeneDB:LmjF.17.0086"
"LDHU3 17.0250"," LmjF.17.0080,LmjF.17.0081,LmjF.17.0082,LmjF.17.0083,LmjF.17.0084,LmjF.17.0085,LmjF.17.0086"," Elongation factor Tu domain 2/Elongation factor Tu C-inal domain containing protein putative Pfam:PF03144 Pfam:PF03143"
"LDHU3_17.0260","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0270","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0280","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0290","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0300","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0310","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0320","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0330","LmjF.17.0086","elongation factor 1-alpha"
"LDHU3_17.0340","LmjF.17.0190","receptor-type adenylate cyclase putative"
"LDHU3_17.0370","LmjF.17.0200","receptor-type adenylate cyclase putative"
"LDHU3_17.0390","LmjF.17.0230","receptor-type adenylate cyclase putative"
"LDHU3_17.0400","LmjF.17.0235","receptor-type adenylate cyclase putative"
"LDHU3_17.0420","LmjF.17.0100","hypothetical protein conserved"
"LDHU3_17.0430","LmjF.17.0110","hypothetical protein conserved"
"LDHU3_17.0440","LmjF.17.0120","Tetratricopeptide repeat putative"
"LDHU3_17.0460","LmjF.17.0130","hypothetical protein conserved"
"LDHU3_17.0480","LmjF.17.0140","peptidase T putative metallo-peptidase ClanMH family M20B"
"LDHU3_17.0500","LmjF.17.0150","hypothetical protein conserved"
"LDHU3_17.0510","LmjF.17.0160","Kinesin motor domain containing protein putative"
"LDHU3_17.0520","LmjF.17.0170","WD domain G-beta repeat putative"
"LDHU3_17.0540","LmjF.17.0240","Regulator of chromosome condensation (RCC1) repeat putative"
"LDHU3_17.0570","LmjF.17.0250","cystathionine beta-synthase"
"LDHU3_17.0580","LmjF.17.0260","hypothetical protein conserved"
"LDHU3_17.0590","LmjF.17.0270","NADH-ubiquinone oxidoreductase mitochondrial putative"
"LDHU3_17.0600","LmjF.17.0280","histone H2A putative"
"LDHU3_17.0610","LmjF.17.0290","Zinc finger C3HC4 type (RING finger) containing protein putative"
"LDHU3_17.0620","LmjF.17.0300","LSM domain containing protein putative"
"LDHU3_17.0630","LmjF.17.0310","hypothetical protein conserved"
"LDHU3_17.0640","LmjF.17.0320","hypothetical protein conserved"
"LDHU3_17.0650","LmjF.17.0330","hypothetical protein conserved"
"LDHU3_17.0660","LmjF.17.0340","hypothetical protein conserved"
"LDHU3_17.0680","LmjF.17.0350","Dihydrouridine synthase (Dus) putative"
"LDHU3_17.0690","LmjF.17.0360","cytidine deaminase-like protein"
"LDHU3_17.0700","LmjF.17.0370","hypothetical protein conserved"
"LDHU3_17.0710","LmjF.17.0380","Qa-SNARE protein putative"
"LDHU3_17.0720","LmjF.17.0390","protein kinase putative"
"LDHU3_17.0740","LmjF.17.0400","Ring finger domain containing protein putative"
"LDHU3_17.0750","LmjF.17.0410","hypothetical protein conserved"
"LDHU3_17.0760","LmjF.17.0420","Probable N6-adenine methyltransferase putative"
"LDHU3_17.0770","LmjF.17.0430","hypothetical protein conserved"
"LDHU3_17.0780","LmjF.17.0440","hypothetical protein conserved"
"LDHU3_17.0790","LmjF.17.0450","hypothetical protein conserved"
"LDHU3_17.0800","LmjF.17.0460","DnaJ domain containing protein putative"
"LDHU3_17.0810","LmjF.17.0470","hypothetical protein conserved"
"LDHU3_17.0830","LmjF.17.0480","Phenazine biosynthesis-like protein putative"
"LDHU3_17.0840","LmjF.17.0490","protein kinase putative"
"LDHU3_17.0850","LmjF.17.0500","hypothetical protein conserved"
"LDHU3_17.0870","LmjF.17.0510","hypothetical protein conserved"
"LDHU3_17.0880","LmjF.17.0520","hypothetical protein conserved"
"LDHU3_17.0890","LmjF.17.0530","hypothetical protein conserved"
"LDHU3_17.0900","LmjF.17.0540","ATPase family associated with various cellular activities (AAA) putative"
"LDHU3_17.0910","LmjF.17.0550","RNA-binding protein putative"
"LDHU3_17.0920","LmjF.17.0560","hypothetical protein conserved"
"LDHU3_17.0930","LmjF.17.0570","hypothetical protein conserved"
"LDHU3_17.0940","LmjF.17.0580","'bis(5''-nucleosyl)-tetraphosphatase'"
"LDHU3_17.0950","LmjF.17.0590","hypothetical protein conserved"
"LDHU3_17.0960","LmjF.17.0600","vacuolar-type Ca2+-ATPase putative"
"LDHU3_17.0970","LmjF.17.0610","Acyl CoA binding protein putative"
"LDHU3_17.0980","LmjF.17.0620","Acyl CoA binding protein putative"
"LDHU3_17.1010","LmjF.17.0630","hypothetical protein conserved"
"LDHU3_17.1020","LmjF.17.0630","hypothetical protein conserved"
"LDHU3_17.1030","LmjF.17.0780","Acyl CoA binding protein putative"
"LDHU3_17.1040","LmjF.17.0770","hypothetical protein conserved"
"LDHU3_17.1050","LmjF.17.0760","Alpha/beta hydrolase family putative"
"LDHU3_17.1070","LmjF.17.0750","EF-hand domain pair/EF-hand domain containing protein putative"
"LDHU3_17.1080","LmjF.17.0740","hypothetical protein conserved"
"LDHU3_17.1090","LmjF.17.0730","GRAM domain containing protein putative"
"LDHU3_17.1100","LmjF.17.0733","hypothetical protein conserved"
"LDHU3_17.1150","LmjF.17.0790","polo-like protein kinase putative"
"LDHU3_17.1170","LmjF.17.0640","VID27 cytoplasmic protein putative"
"LDHU3_17.1180","LmjF.17.0650","hypothetical protein conserved"
"LDHU3_17.1190","LmjF.17.0660","hypothetical protein conserved"
"LDHU3_17.1200","LmjF.17.0670","protein kinase putative"
"LDHU3_17.1210","LmjF.17.0680","hypothetical protein conserved"
"LDHU3_17.1220","LmjF.17.0690","hypothetical protein conserved"
"LDHU3_17.1230","LmjF.17.0700","Putative methyltransferase putative"
"LDHU3_17.1240","LmjF.17.0710","Myb-like DNA-binding domain containing protein putative"
"LDHU3_17.1250","LmjF.17.0720","hypothetical protein conserved"
"LDHU3_17.1270","-","hypothetical protein"
"LDHU3_17.1280","LmjF.17.0725","guanosine monophosphate reductase"
"LDHU3_17.1290","LmjF.17.0735","ysine decarboxylase-like protein"
"LDHU3_17.1300","LmjF.17.0800","OSM3-like kinesin putative"
"LDHU3_17.1310","LmjF.17.0810","RNA-binding protein putative"
"LDHU3_17.1320","LmjF.17.0815","G-patch domain containing protein putative"
"LDHU3_17.1340","LmjF.17.0820","hypothetical protein conserved"
"LDHU3_17.1350","LmjF.17.0830","Lariat debranching enzyme C-inal domain containing protein putative"
"LDHU3_17.1360","LmjF.17.0840","hypothetical protein conserved"
"LDHU3_17.1370","LmjF.17.0850","hypothetical protein conserved"
"LDHU3_17.1380","LmjF.17.0860","hypothetical protein conserved"
"LDHU3_17.1390","LmjF.17.0870","META domain containing protein"
"LDHU3_17.1410","LmjF.17.0880","hypothetical protein conserved"
"LDHU3_17.1420","LmjF.17.0890","META domain containing protein putative"
"LDHU3_17.1430","LmjF.17.0900","Leucine Rich repeat putative"
"LDHU3_17.1440","LmjF.17.0910","Acyltransferase putative"
"LDHU3_17.1450","LmjF.17.0920","ATP-dependent RNA helicase putative"
"LDHU3_17.1460","LmjF.17.0930","formin putative"
"LDHU3_17.1470","LmjF.17.0940","Phosphorylated CTD interacting factor 1 WW domain containing protein putative"
"LDHU3_17.1480","LmjF.17.0950","'3''5''-cyclic nucleotide phosphodiesterase'"
"LDHU3_17.1490","LmjF.17.0960","hypothetical protein conserved"
"LDHU3_17.1500","LmjF.17.0980","hypothetical protein conserved"
"LDHU3_17.1510","-","hypothetical protein"
"LDHU3_17.1530","LmjF.17.0990","hypothetical protein conserved"
"LDHU3_17.1540","LmjF.17.1000","hypothetical protein conserved"
"LDHU3_17.1550","LmjF.17.1010","hydrolase alpha/beta fold family-like protein"
"LDHU3_17.1560","LmjF.17.1020","Glycosyltransferase (GlcNAc) putative"
"LDHU3_17.1570","-","hypothetical protein"
"LDHU3_17.1580","LmjF.17.1030","hypothetical protein conserved"
"LDHU3_17.1610","LmjF.17.1040","hydrolase-like protein"
"LDHU3_17.1620","LmjF.17.1050","hydrolase-like protein"
"LDHU3_17.1640","LmjF.17.1060","esterase-like protein"
"LDHU3_17.1650","LmjF.17.1070","hypothetical protein conserved"
"LDHU3_17.1670","LmjF.17.1080","hypothetical protein conserved"
"LDHU3_17.1680","LmjF.17.1090","cysteine peptidase Clan CA family C19 putative"
"LDHU3_17.1690","LmjF.17.1100","3-oxo-5-alpha-steroid 4-dehydrogenase-like protein"
"LDHU3_17.1700","LmjF.17.1110","kinesin putative"
"LDHU3_17.1710","LmjF.17.1120","hypothetical protein conserved"
"LDHU3_17.1720","LmjF.17.1130","NOL1/NOP2/sun family putative"
"LDHU3_17.1730","-","hypothetical protein conserved"
"LDHU3_17.1740","LmjF.17.1140","WW domain containing protein putative"
"LDHU3_17.1750","LmjF.17.1150","'5''-3'' exoribonuclease B'"
"LDHU3_17.1770","LmjF.17.1160","UDP-sugar pyrophosphorylase"
"LDHU3_17.1780","LmjF.17.1170","hypothetical protein conserved"
"LDHU3_17.1790","LmjF.17.1180","hypothetical protein conserved"
"LDHU3_17.1800","LmjF.17.1190","hypothetical protein conserved"
"LDHU3_17.1810","LmjF.17.1200","hypothetical protein conserved"
"LDHU3_17.1820","LmjF.17.1210","MSP (Major sperm protein) domain containing protein putative"
"LDHU3_17.1840","LmjF.17.1220","histone H2B"
"LDHU3_17.1850","LmjF.17.1230","hypothetical protein conserved"
"LDHU3_17.1860","LmjF.17.1240","hypothetical protein conserved"
"LDHU3_17.1870","LmjF.17.1250","Domain of unknown function (DUF1726)/Helicase/GNAT acetyltransferase 2/Possible tRNA binding domain containing protein putative"
"LDHU3_17.1880","LmjF.17.1260","Organic solute transport protein 1 putative"
"LDHU3_17.1890","LmjF.17.1270","hypothetical protein conserved"
"LDHU3_17.1900","LmjF.17.1280","hypothetical protein conserved"
"LDHU3_17.1910","LmjF.17.1290","translation initiation factor putative"
"LDHU3_17.1920","LmjF.17.1300","hypothetical protein conserved"
"LDHU3_17.1930","LmjF.17.1310","Methyltransferase domain containing protein putative"
"LDHU3_17.1950","LmjF.17.1320","hypothetical protein conserved"
"LDHU3_17.1960","LmjF.17.1330","hypothetical protein conserved"
"LDHU3_17.1970","LmjF.17.1340","Cytidylyltransferase putative"
"LDHU3_17.1980","LmjF.17.1350","Cytochrome b5-like Heme/Steroid binding domain containing protein putative"
"LDHU3_17.2000","LmjF.17.1360","L-galactonolactone oxidase putative"
"LDHU3_17.2010","-","hypothetical protein"
"LDHU3_17.2020","LmjF.17.1370","NUC130/3NT domain/SDA1 putative"
"LDHU3_17.2030","LmjF.17.1375","hypothetical protein conserved"
"LDHU3_17.2040","LmjF.17.1380","IQ calmodulin-binding motif containing protein putative"
"LDHU3_17.2050","LmjF.17.1390","myo-inositol-1(or 4)-monophosphatase 1 putative"
"LDHU3_17.2060","LmjF.17.1400","otubain cysteine peptidase Clan CA family C65 putative"
"LDHU3_17.2080","LmjF.17.1410","zinc-finger protein ZPR1 putative"
"LDHU3_17.2110","LmjF.17.1420","hypothetical protein conserved"
"LDHU3_17.2120","-","hypothetical protein"
"LDHU3_17.2130","LmjF.17.1430","Major Facilitator Superfamily putative"
"LDHU3_17.2140","LmjF.17.1440","Ion transport protein putative"
"LDHU3_17.2150","LmjF.17.1450","Rab-GTPase-TBC domain containing protein putative"
"LDHU3_17.2170","LmjF.17.1460","ferrochelatase-like protein"
"LDHU3_17.2180","LmjF.17.1470","hypothetical protein conserved"
"LDHU3_18.0010","LmjF.18.0010","kinetoplast polyadenylation/uridylation factor 1"
"LDHU3_18.0030","LmjF.18.0020","mevalonate-diphosphate decarboxylase putative"
"LDHU3_18.0040","LmjF.18.0030","RNA-binding protein 27 putative"
"LDHU3_18.0050","LmjF.18.0040","major facilitator superfamily protein (MFS) putative"
"LDHU3_18.0060","LmjF.18.0050","hypothetical protein conserved"
"LDHU3_18.0070","LmjF.18.0060","hypothetical protein conserved"
"LDHU3_18.0080","LmjF.18.0070","zinc-finger of a C2HC-type/Double zinc ribbon putative"
"LDHU3_18.0090","LmjF.18.0080","Semialdehyde dehydrogenase NAD binding domain/NADH(P)-binding/3-beta hydroxysteroid dehydrogenase/isomerase family putative"
"LDHU3_18.0100","LmjF.18.0090","alpha glucosidase II subunit putative"
"LDHU3_18.0110","LmjF.18.0100","hypothetical protein conserved"
"LDHU3_18.0120","LmjF.18.0110","Protein of unknown function (DUF726) putative"
"LDHU3_18.0130","LmjF.18.0120","ARF-like 2-binding protein putative"
"LDHU3_18.0140","LmjF.18.0130","Domain of unknown function DUF21/CBS domain containing protein putative"
"LDHU3_18.0150","LmjF.18.0140","Domain of unknown function DUF21 putative"
"LDHU3_18.0160","LmjF.18.0150","serine/threonine protein phosphatase type 5 putative"
"LDHU3_18.0170","LmjF.18.0160","Lipase (class 3) putative"
"LDHU3_18.0180","LmjF.18.0170","RNA recognition motif. (a.k.a. RRM RBD or RNP domain)/RNA recognition motif (a.k.a. RRM RBD or RNP domain) putative"
"LDHU3_18.0190","LmjF.18.0180","RNA recognition motif. (a.k.a. RRM RBD or RNP domain)/RNA recognition motif (a.k.a. RRM RBD or RNP domain) putative"
"LDHU3_18.0210","LmjF.18.0190","RNA recognition motif. (a.k.a. RRM RBD or RNP domain)/RNA recognition motif (a.k.a. RRM RBD or RNP domain) putative"
"LDHU3_18.0240","LmjF.18.0200","UDP-galactopyranose mutase"
"LDHU3_18.0250","LmjF.18.0210","Activator of Hsp90 ATPase N-inal/Activator of Hsp90 ATPase homolog 1-like protein putative"
"LDHU3_18.0260","LmjF.18.0220","RNA-binding protein 29 putative"
"LDHU3_18.0270","LmjF.18.0230","60S ribosomal protein L7 putative"
"LDHU3_18.0290","LmjF.18.0240","hypothetical protein conserved"
"LDHU3_18.0300","LmjF.18.0250","hypothetical protein conserved"
"LDHU3_18.0310","LmjF.18.0260","hypothetical protein conserved"
"LDHU3_18.0340","LmjF.18.0270","glycogen synthase kinase 3 putative"
"LDHU3_18.0360","LmjF.18.0280","hypothetical protein conserved"
"LDHU3_18.0370","LmjF.18.0290","Dephospho-CoA kinase putative"
"LDHU3_18.0380","LmjF.18.0300","Nuclear transport factor 2 (NTF2) domain containing protein putative"
"LDHU3_18.0390","LmjF.18.0310","hypothetical protein conserved"
"LDHU3_18.0400","LmjF.18.0320","Domain of unknown function (DUF4379) putative"
"LDHU3_18.0410","LmjF.18.0330","DnaJ domain containing protein putative"
"LDHU3_18.0420","LmjF.18.0340","Domain of unknown function (DUF4475) putative"
"LDHU3_18.0430","LmjF.18.0350","ATP12 chaperone protein putative"
"LDHU3_18.0440","LmjF.18.0360","GPI-anchor transamidase subunit 8 (GPI8) putative"
"LDHU3_18.0450","LmjF.18.0370","tubulin tyrosine ligase protein putative"
"LDHU3_18.0460","LmjF.18.0380","hypothetical protein conserved"
"LDHU3_18.0470","LmjF.18.0390","hypothetical protein conserved"
"LDHU3_18.0490","LmjF.18.0400","UDP-galactose transporter"
"LDHU3_18.0500","LmjF.18.0410","hypothetical protein conserved"
"LDHU3_18.0510","LmjF.18.0420","hypothetical protein conserved"
"LDHU3_18.0530","LmjF.18.0430","PAP2 superfamily putative"
"LDHU3_18.0540","LmjF.18.0440","phosphatidic acid phosphatase putative"
"LDHU3_18.0560","LmjF.18.0450","serine carboxypeptidase (CBP1) putative"
"LDHU3_18.0580","LmjF.18.0460","tubulin-specific chaperone putative"
"LDHU3_18.0590","LmjF.18.0470","paralyzed flagella protein 20"
"LDHU3_18.0600","LmjF.18.0480","uracil-DNA-glycosylase putative"
"LDHU3_18.0610","LmjF.18.0490","BTB/POZ domain containing protein putative"
"LDHU3_18.0620","LmjF.18.0500","hypothetical protein conserved"
"LDHU3_18.0630","LmjF.18.0510","aconitase putative"
"LDHU3_18.0640","LmjF.18.0520","hypothetical protein conserved"
"LDHU3_18.0660","LmjF.18.0530","Tubulin binding cofactor C putative"
"LDHU3_18.0680","LmjF.18.0540","hypothetical protein conserved"
"LDHU3_18.0690","LmjF.18.0550","hypothetical protein conserved"
"LDHU3_18.0700","LmjF.18.0560","vacuolar ATP synthase subunit c putative"
"LDHU3_18.0720","LmjF.18.0570","Flagellar-associated PapD-like putative"
"LDHU3_18.0730","LmjF.18.0580","peroxisomal enoyl-coa hydratase putative"
"LDHU3_18.0740","LmjF.18.0590","RNA binding protein putative"
"LDHU3_18.0780","LmjF.18.0595","hypothetical protein conserved"
"LDHU3_18.0790","LmjF.18.0600","Zn-finger in Ran binding protein and others/FYVE zinc finger containing protein putative"
"LDHU3_18.0800","LmjF.36.3750","40S ribosomal protein S27-1 putative"
"LDHU3_18.0810","-","Dpy-30 motif containing protein putative"
"LDHU3_18.0820","LmjF.18.0610","ATP-dependent zinc metallopeptidase putative"
"LDHU3_18.0830","LmjF.18.0620","60S ribosomal protein L10a putative"
"LDHU3_18.0840","LmjF.18.0630","hypothetical protein conserved"
"LDHU3_18.0850","LmjF.18.0640","serine/threonine kinase-like protein putative"
"LDHU3_18.0860","LmjF.18.0650","PA26 p53-induced protein (sestrin) putative"
"LDHU3_18.0880","LmjF.18.0700","HEAT repeats/HEAT repeat putative"
"LDHU3_18.0890","LmjF.18.0690","hypothetical protein conserved"
"LDHU3_18.0900","LmjF.18.0670","citrate synthase putative"
"LDHU3_18.0930","LmjF.18.0680","citrate synthase putative"
"LDHU3_18.0940","LmjF.18.0710","hypothetical protein conserved"
"LDHU3_18.0970","LmjF.18.0720","hypothetical protein conserved"
"LDHU3_18.0980","LmjF.18.0730","Dynein light chain Tctex-type putative"
"LDHU3_18.0990","LmjF.18.0740","Elongation factor Tu mitochondrial putative"
"LDHU3_18.1000","LmjF.18.0750","hypothetical protein conserved"
"LDHU3_18.1010","LmjF.18.0760","Zinc-finger of C2H2 type/Zinc-finger double-stranded RNA-binding putative"
"LDHU3_18.1020","LmjF.18.0770","hypothetical protein conserved"
"LDHU3_18.1030","LmjF.18.0780","DNA-directed RNA polymerase II/III subunit putative"
"LDHU3_18.1040","LmjF.18.0790","DNA-directed RNA polymerase I subunit RPB5z putative"
"LDHU3_18.1050","LmjF.18.0800","Ribosomal protein S8 putative"
"LDHU3_18.1060","LmjF.18.0810","ethanolamine phosphotransferase putative"
"LDHU3_18.1070","LmjF.18.0820","hypothetical protein conserved"
"LDHU3_18.1080","LmjF.18.0830","Periodic tryptophan protein 2 homolog putative"
"LDHU3_18.1090","LmjF.18.0840","hypothetical protein conserved"
"LDHU3_18.1100","LmjF.18.0850","hypothetical protein conserved"
"LDHU3_18.1110","LmjF.18.0860","hypothetical protein conserved"
"LDHU3_18.1120","LmjF.18.0870","hypothetical protein conserved"
"LDHU3_18.1130","LmjF.18.0880","cyclosporin 16 putative"
"LDHU3_18.1140","LmjF.18.0890","rab7 GTP binding protein putative"
"LDHU3_18.1150","LmjF.18.0900","dolichyl-P-Man:GDP-ManGlcNAc2-PP-dolichyl beta-14-mannosyltransferase putative"
"LDHU3_18.1160","LmjF.18.0910","hypothetical protein conserved"
"LDHU3_18.1170","LmjF.18.0920","actin-related protein 2/3 complex subunit 1 putative"
"LDHU3_18.1180","LmjF.18.0930","hypothetical protein conserved"
"LDHU3_18.1190","LmjF.18.0940","Nrap protein putative"
"LDHU3_18.1200","LmjF.18.0950","hypothetical protein conserved"
"LDHU3_18.1210","LmjF.18.0960","mannosyltransferase-II putative"
"LDHU3_18.1220","LmjF.18.0970","hypothetical protein conserved"
"LDHU3_18.1230","LmjF.18.0980","hypothetical protein conserved"
"LDHU3_18.1250","LmjF.18.0990","UDP-glucose pyrophosphorylase"
"LDHU3_18.1260","LmjF.18.1000","Mitochondrial carrier protein putative"
"LDHU3_18.1270","LmjF.18.1010","Dynein light chain roadblock-type protein putative"
"LDHU3_18.1280","LmjF.18.1020","hypothetical protein conserved"
"LDHU3_18.1290","-","hypothetical protein"
"LDHU3_18.1330","LmjF.18.1030","PhoD-like phosphatase putative"
"LDHU3_18.1340","LmjF.18.1040","5-oxoprolinase putative"
"LDHU3_18.1350","LmjF.18.1050","hypothetical protein conserved"
"LDHU3_18.1370","LmjF.18.1060","cysteine peptidase Clan CA family C2 putative"
"LDHU3_18.1380","LmjF.18.1070","Vacuolar protein sorting-associated protein 16 homolog putative"
"LDHU3_18.1390","LmjF.18.1080","protein kinase A catalytic subunit"
"LDHU3_18.1400","LmjF.18.1090","cAMP phosphodiesterase A putative"
"LDHU3_18.1410","LmjF.18.1100","Ankyrin repeats (many copies)/Ankyrin repeats (3 copies)/Ankyrin repeat putative"
"LDHU3_18.1420","LmjF.18.1110","Multisite-specific tRNA:(cytosine-C(5))-methyltransferase putative"
"LDHU3_18.1430","LmjF.18.1120","AN1-like Zinc finger containing protein putative"
"LDHU3_18.1440","LmjF.18.1130","Ras-related protein Rab5A putative"
"LDHU3_18.1460","LmjF.18.1140","hypothetical protein conserved"
"LDHU3_18.1470","LmjF.18.1150","Zinc finger C3HC4 type (RING finger) containing protein putative"
"LDHU3_18.1490","LmjF.18.1160","hypothetical protein conserved"
"LDHU3_18.1500","LmjF.18.1170","hypothetical protein conserved"
"LDHU3_18.1510","LmjF.18.1180","hypothetical protein conserved"
"LDHU3_18.1520","LmjF.18.1190","hypothetical protein conserved"
"LDHU3_18.1530","LmjF.18.1200","Complex 1 protein (LYR family)/Complex1 LYR-like putative"
"LDHU3_18.1540","LmjF.18.1210","prolyl-tRNA synthetase putative"
"LDHU3_18.1550","LmjF.18.1220","prolyl-tRNA synthetase putative"
"LDHU3_18.1560","LmjF.18.1230","SET domain containing protein putative"
"LDHU3_18.1580","LmjF.18.1240","pre-RNA processing PIH1/Nop17 putative"
"LDHU3_18.1590","LmjF.18.1250","ttaggg binding factor putative"
"LDHU3_18.1600","LmjF.18.1260","Mitochondrial carrier protein putative"
"LDHU3_18.1610","LmjF.18.1265","Mitochondrial carrier protein putative"
"LDHU3_18.1620","LmjF.18.1270","Mitochondrial carrier protein putative"
"LDHU3_18.1640","LmjF.18.1310","Acetyltransferase (GNAT) family putative"
"LDHU3_18.1650","LmjF.18.1320","hypothetical protein conserved"
"LDHU3_18.1670","LmjF.18.1330","cholinephosphate cytidylyltransferase A putative"
"LDHU3_18.1680","LmjF.18.1340","hypothetical protein conserved"
"LDHU3_18.1700","LmjF.18.1350","hypothetical protein conserved"
"LDHU3_18.1710","LmjF.18.1360","hypothetical protein conserved"
"LDHU3_18.1720","LmjF.18.1370","heat shock protein 110 putative"
"LDHU3_18.1730","LmjF.18.1380","pyruvate dehydrogenase E1 component alpha subunit putative"
"LDHU3_18.1750","LmjF.18.1390","hypothetical protein conserved"
"LDHU3_18.1760","LmjF.18.1400","60S ribosomal protein L34 putative"
"LDHU3_18.1770","LmjF.18.1410","hypothetical protein conserved"
"LDHU3_18.1780","LmjF.18.1420","pumilio protein 2 putative"
"LDHU3_18.1790","-","hypothetical protein conserved"
"LDHU3_18.1800","LmjF.18.1430","chaperone DNAJ protein putative"
"LDHU3_18.1810","LmjF.18.1440","EF-hand domain/EF-hand domain pair putative"
"LDHU3_18.1820","LmjF.18.1450","Protein of unknown function (DUF3648) putative"
"LDHU3_18.1840","LmjF.18.1460","WD domain G-beta repeat putative"
"LDHU3_18.1850","LmjF.18.1470","hypothetical protein conserved"
"LDHU3_18.1860","LmjF.18.1480","NADH-ubiquinone oxidoreductase complex I subunit putative"
"LDHU3_18.1870","LmjF.18.1490","chaperone protein DNAj putative"
"LDHU3_18.1880","LmjF.18.1500","hypothetical protein conserved"
"LDHU3_18.1890","LmjF.18.1510","P-type H+-ATPase putative"
"LDHU3_18.1900","LmjF.18.1520","P-type H+-ATPase putative"
"LDHU3_18.1930","LmjF.18.1530","kinesin putative"
"LDHU3_18.1940","LmjF.18.1540","UAA transporter family/Triose-phosphate Transporter family putative"
"LDHU3_18.1950","LmjF.18.1550","BTB/POZ domain containing protein putative"
"LDHU3_18.1960","LmjF.18.1560","hypothetical protein conserved"
"LDHU3_18.1980","LmjF.18.1570","Zinc finger C3HC4 type (RING finger) containing protein putative"
"LDHU3_18.2000","LmjF.18.1580","nonspecific nucleoside hydrolase"
"LDHU3_18.2020","LmjF.18.1590","hypothetical protein conserved"
"LDHU3_18.2030","LmjF.18.1600","kinesin putative"
"LDHU3_18.2040","LmjF.18.1610","Noc2p family putative"
"LDHU3_18.2050","LmjF.18.1620","Got1/Sft2-like family putative"
"LDHU3_18.2060","LmjF.18.1625","hypothetical protein conserved"
"LDHU3_18.2090","LmjF.18.1630","hypothetical protein conserved"
"LDHU3_18.2100","LmjF.18.1640","hypothetical protein conserved"
"LDHU3_18.2110","LmjF.18.1650","chaperone protein DNAj putative"
"LDHU3_18.2120","LmjF.18.1660","gamma-glutamylcysteine synthetase putative"
"LDHU3_18.2140","-","hypothetical protein"
"LDHU3_18.2150","LmjF.18.1670","hypothetical protein conserved"
"LDHU3_19.0010","LmjF.19.0010","Qb-SNARE protein putative"
"LDHU3_19.0020","LmjF.19.0020","hypothetical protein conserved"
"LDHU3_19.0030","LmjF.19.0030","histone H2B"
"LDHU3_19.0040","LmjF.19.0040","histone H2B"
"LDHU3_19.0050","LmjF.19.0050","histone H2B"
"LDHU3_19.0060","LmjF.19.0060","Ribosomal protein S5 N-inal domain/Ribosomal protein S5 C-inal domain containing protein putative"
"LDHU3_19.0070","LmjF.19.0070","peroxin 13 putative"
"LDHU3_19.0080","LmjF.19.0080","DnaJ domain containing protein putative"
"LDHU3_19.0090","LmjF.19.0090","hypothetical protein conserved"
"LDHU3_19.0100","LmjF.19.0100","fibrillarin putative"
"LDHU3_19.0110","LmjF.19.0110","Clathrin light chain putative"
"LDHU3_19.0120","LmjF.19.0120","QA-SNARE protein putative"
"LDHU3_19.0130","LmjF.19.0130","Der1-like family putative"
"LDHU3_19.0140","LmjF.19.0140","Associated kinase of Tb14-3-3 putative"
"LDHU3_19.0150","LmjF.19.0150","mitogen-activated protein kinase kinase kinase putative"
